AGREGAÇÃO,LOCALIDADE,RECONHECIMENTO,GESTOR,TIPO,FONTE,EIXO,SUBEIXO,FINALIDADE,PAGO/CONCEDIDO,PAGO_CONCEDIDO_NUM,GESTOR_NOME,GESTOR_SIGLA_NOME
Regional,REGIONAL,,Banco Central,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Recuperação de unidade - Banco Central,246333.0,246333.0,Banco Central,Banco Central
Regional,REGIONAL,,DNIT,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Reconstrução e emergencial: intervenções emergenciais e reconstrução de rodovias,196260689.57,196260689.57,Ministério dos Transportes,DNIT (Ministério dos Transportes)
Regional,REGIONAL,,DNIT,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Recuperação de infraestrutura,6500000000.0,6500000000.0,Ministério dos Transportes,DNIT (Ministério dos Transportes)
Regional,REGIONAL,,DPU,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Promoção dos Direitos Humanos - DPU,60527.16,60527.16,Defensoria Pública da União,DPU (Defensoria Pública da União)
Regional,REGIONAL,,EMBRAPA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Pesquisa e Inovação Agropecuária - EMBRAPA,9074238.82,9074238.82,Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA (Empresa Brasileira de Pesquisa Agropecuária)
Regional,REGIONAL,,IBGE,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Recuperação de unidade - IBGE,520754.65,520754.65,Instituto Brasileiro de Geografia e Estatística,IBGE (Instituto Brasileiro de Geografia e Estatística)
Regional,REGIONAL,,INCRA,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recurso Novo ao Cidadão,Concessão de Crédito-Instalação às famílias assentadas,4170000.0,4170000.0,Instituto Nacional de Colonização e Reforma Agrária,INCRA (Instituto Nacional de Colonização e Reforma Agrária)
Regional,REGIONAL,,INMETRO,Recursos Novos,Orçamento Federal,,,Recuperação de unidade - INMETRO,1229053.52,1229053.52,"Instituto Nacional de Metrologia, Qualidade e Tecnologia","INMETRO (Instituto Nacional de Metrologia, Qualidade e Tecnologia)"
Regional,REGIONAL,,MAPA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Fortalecimento do Sistema Unificado de Atenção à Sanidade Agropecuária,125115.59,125115.59,Ministério da Agricultura e Pecuária,MAPA (Ministério da Agricultura e Pecuária)
Regional,REGIONAL,,MAPA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Produção e divulgação de informações metereológicas e climatológicas,209308.48,209308.48,Ministério da Agricultura e Pecuária,MAPA (Ministério da Agricultura e Pecuária)
Regional,REGIONAL,,MCID,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Trensurb: Retomada de operação,38828813.78,38828813.78,Ministério das Cidades,MCID (Ministério das Cidades)
Regional,REGIONAL,,MD,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Atendimento à emergência: custeio de operações,582471590.01,582471590.01,Ministério da Defesa,MD (Ministério da Defesa)
Regional,REGIONAL,,MDA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Assistência Técnica e Extensão Rural,16715928.0,16715928.0,Ministério do Desenvolvimento Agrário e Agricultura Familiar,MDA (Ministério do Desenvolvimento Agrário e Agricultura Familiar)
Regional,REGIONAL,,MDA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Desenvolvimento e Gestão Ambiental para Teritórios Quilombolas e Povos Tradicionais,1859995.0,1859995.0,Ministério do Desenvolvimento Agrário e Agricultura Familiar,MDA (Ministério do Desenvolvimento Agrário e Agricultura Familiar)
Regional,REGIONAL,,MDA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Diagnóstico e projetos de estradas e barragens,1980.18,1980.18,Ministério do Desenvolvimento Agrário e Agricultura Familiar,MDA (Ministério do Desenvolvimento Agrário e Agricultura Familiar)
Regional,REGIONAL,,MDS,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Estruturação da Rede de Serviços do SUAS,10145270.0,10145270.0,"Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MDS (Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Regional,REGIONAL,,MEC,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Fortalecimento da assistência jurídica integral e gratuita,9859541.1,9859541.1,Ministério da Educação,MEC (Ministério da Educação)
Regional,REGIONAL,,MEC,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Suporte aos serviços de emergência e conectividade,113100.16,113100.16,Ministério da Educação,MEC (Ministério da Educação)
Regional,REGIONAL,,MF,Recursos Novos,Financiamento,Apoio às Empresas,Crédito para Empresas,Programa Emergencial de Acesso a Crédito (PEAC),625800.0,625800.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Regional,REGIONAL,,MF,Recursos Novos,Orçamento Federal,Apoio às Empresas,Crédito para Agricultores,Indenizações de Atividade Agropecuária: PROAGRO,339774636.24,339774636.24,Ministério da Fazenda,MF (Ministério da Fazenda)
Regional,REGIONAL,,MF,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Compensação pela perda arrecadatória de ICMS,674480000.0,674480000.0,Ministério da Fazenda,MF (Ministério da Fazenda)
Regional,REGIONAL,,MF,Suspensão e Isenção,Fundo,Medidas para o Estado,Medidas para o Estado,Isenção de juros sobre o estoque da dívida por 36 meses,27545008991.88,27545008991.88,Ministério da Fazenda,MF (Ministério da Fazenda)
Regional,REGIONAL,,MF,Suspensão e Isenção,Fundo,Medidas para o Estado,Medidas para o Estado,Suspensão do pagamento da dívida do estado por 36 meses,14714240990.56,14714240990.56,Ministério da Fazenda,MF (Ministério da Fazenda)
Regional,REGIONAL,,MGI,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Readequação do Concurso Unificado e Arquivo Nacional,54529978.01,54529978.01,Ministério da Gestão e da Inovação em Serviços Públicos,MGI (Ministério da Gestão e da Inovação em Serviços Públicos)
Regional,REGIONAL,,MIDR,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,"Estudos, Projetos e Obras",4104546.04,4104546.04,Ministério da Integração e do Desenvolvimento Regional,MIDR (Ministério da Integração e do Desenvolvimento Regional)
Regional,REGIONAL,,Ministério da Cultura,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Apoio financeiro para retomada e sustentabilidade de grupos e atividades,23690594.05,23690594.05,Ministério da Cultura,Ministério da Cultura
Regional,REGIONAL,,Ministério da Educação,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,"Recuperação e reconstrução de Universidades, Institutos Federais, escolas e creches",27024189.84,27024189.84,Ministério da Educação,Ministério da Educação
Regional,REGIONAL,,Ministério da Saúde,Recursos Novos,Orçamento Federal,Medidas para os Municípios,Saúde,Assistência Farmacêutica: reposição estoque medicamentos,84283219.51,84283219.51,Ministério da Saúde,Ministério da Saúde
Regional,REGIONAL,,Ministério das Cidades,Recursos Novos,Orçamento Federal,Cuidado com as Pessoas,Recurso Novo ao Cidadão,Construção e aquisição de unidades habitacionais,2980000000.0,2980000000.0,Ministério das Cidades,Ministério das Cidades
Regional,REGIONAL,,Ministério Público,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Ministério Público Federal e Militar,2753916.51,2753916.51,Ministério Público,Ministério Público
Regional,REGIONAL,,MJSP,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,"Ações integradas das Polícias Federal, Rodoviária Federal e da Força Nacional de Segurança Pública",45956543.48,45956543.48,Ministério da Justiça e Segurança Pública,MJSP (Ministério da Justiça e Segurança Pública)
Regional,REGIONAL,,MMA,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Fiscalização e emergência ambiental,19160371.16,19160371.16,Ministério do Meio Ambiente e Mudança do Clima,MMA (Ministério do Meio Ambiente e Mudança do Clima)
Regional,REGIONAL,,MME,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Gestão de Riscos e de Desastres - CPRM,3002122.76,3002122.76,Ministério de Minas e Energia,MME (Ministério de Minas e Energia)
Regional,REGIONAL,,MPS/MS/MDS,Antecipação,Orçamento Federal,Medidas para o Estado,Antecipação,Precatórios,4422829176.5,4422829176.5,"Ministério da Previdência Social/Ministério da Saúde/Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome","MPS/MS/MDS (Ministério da Previdência Social/Ministério da Saúde/Ministério do Desenvolvimento Social e Assistência Social, Família e Combate a Fome)"
Regional,REGIONAL,,Poder Judiciário,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Recuperação de unidade - Justiça Federal,3442574.71,3442574.71,Poder Judiciário,Poder Judiciário
Regional,REGIONAL,,Poder Judiciário,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,"Recuperação dos materiais, bens móveis e imóveis",2165449.12,2165449.12,Poder Judiciário,Poder Judiciário
Regional,REGIONAL,,Poder Judiciário,Recursos Novos,Orçamento Federal,Medidas para o Estado,Medidas para o Estado,Tribunal Regional do Trabalho,5483253.02,5483253.02,Poder Judiciário,Poder Judiciário
